,bairro,nome,geojson
54,GUAÍRA,UMS PAROLIN,"{""type"":""Point"",""coordinates"":[-49.2653413817244,-25.468011272029]}"
55,CAPÃO RASO,UMS PARQUE INDUSTRIAL,"{""type"":""Point"",""coordinates"":[-49.3036990621295,-25.5075851083347]}"
56,PILARZINHO,UMS PILARZINHO,"{""type"":""Point"",""coordinates"":[-49.2825185489031,-25.3874342244257]}"
57,SANTA FELICIDADE,UMS PINHEIROS,"{""type"":""Point"",""coordinates"":[-49.3332858640976,-25.3871944499159]}"
58,TATUQUARA,UMS POMPEIA,"{""type"":""Point"",""coordinates"":[-49.3174125596342,-25.56275345879]}"
59,CAMPO DE SANTANA,UMS RIO BONITO,"{""type"":""Point"",""coordinates"":[-49.339944830548,-25.5908240569724]}"
60,CIDADE INDUSTRIAL,UMS SABARA,"{""type"":""Point"",""coordinates"":[-49.3470478599672,-25.5008741908385]}"
61,UBERABA,UMS SALGADO FILHO,"{""type"":""Point"",""coordinates"":[-49.2223007080648,-25.4879748289819]}"
62,UBERABA,UMS SALGADO FILHO,"{""type"":""Point"",""coordinates"":[-49.2221624102515,-25.4880663541335]}"
63,SÍTIO CERCADO,UMS SALVADOR ALLENDE,"{""type"":""Point"",""coordinates"":[-49.2764197079838,-25.5429409073989]}"
64,SÍTIO CERCADO,UMS SAMBAQUI,"{""type"":""Point"",""coordinates"":[-49.2606930913983,-25.5576187732411]}"
65,FAZENDINHA,UMS SANTA AMELIA,"{""type"":""Point"",""coordinates"":[-49.3247475228432,-25.4844037636093]}"
66,SANTA CÂNDIDA,UMS SANTA CANDIDA,"{""type"":""Point"",""coordinates"":[-49.2228406402955,-25.3751781185659]}"
67,SÃO BRAZ,UMS SANTA FELICIDADE,"{""type"":""Point"",""coordinates"":[-49.3502587113738,-25.4121963597698]}"
68,SANTA FELICIDADE,UMS SANTA FELICIDADE,"{""type"":""Point"",""coordinates"":[-49.3278042741679,-25.4018034547112]}"
69,SANTA QUITÉRIA,UMS SANTA QUITERIA,"{""type"":""Point"",""coordinates"":[-49.316063669356,-25.4613819443812]}"
70,SANTA QUITÉRIA,UMS SANTA QUITERIA II,"{""type"":""Point"",""coordinates"":[-49.30362695733,-25.4621655732851]}"
71,CAMPO COMPRIDO,UMS SANTOS ANDRADE,"{""type"":""Point"",""coordinates"":[-49.3244839767489,-25.4567346390576]}"
72,SÃO BRAZ,UMS SAO BRAZ,"{""type"":""Point"",""coordinates"":[-49.3472190163656,-25.4182504065851]}"
73,CAJURU,UMS SAO DOMINGOS,"{""type"":""Point"",""coordinates"":[-49.1974829844876,-25.4677099490346]}"
74,SÍTIO CERCADO,UMS SAO JOAO DEL REY,"{""type"":""Point"",""coordinates"":[-49.27264356559,-25.5372067461167]}"
75,AUGUSTA,UMS SAO JOSE,"{""type"":""Point"",""coordinates"":[-49.3783120065911,-25.4564057918197]}"
76,CIDADE INDUSTRIAL,UMS SAO MIGUEL,"{""type"":""Point"",""coordinates"":[-49.33611607365,-25.4798958147487]}"
77,UBERABA,UMS SAO PAULO,"{""type"":""Point"",""coordinates"":[-49.2352139486752,-25.4833502752197]}"
78,XAXIM,UMS SAO PEDRO,"{""type"":""Point"",""coordinates"":[-49.2692885656346,-25.5207842744678]}"
79,CAJURU,UMS SOLITUDE,"{""type"":""Point"",""coordinates"":[-49.195457229188,-25.4768308947689]}"
80,CIDADE INDUSTRIAL,UMS TAIZ VIVIANE MACHADO,"{""type"":""Point"",""coordinates"":[-49.3280829934398,-25.5154756368656]}"
81,CIDADE INDUSTRIAL,UMS TANCREDO NEVES,"{""type"":""Point"",""coordinates"":[-49.3427650179617,-25.4746595820562]}"
82,BOQUEIRÃO,UMS TAPAJOS,"{""type"":""Point"",""coordinates"":[-49.2598785654526,-25.4910661176632]}"
83,BAIRRO ALTO,UMS TARUMA,"{""type"":""Point"",""coordinates"":[-49.2012201750738,-25.423322858414]}"
84,TINGÜI,UMS TINGUI,"{""type"":""Point"",""coordinates"":[-49.2228993537436,-25.3825634982759]}"
85,CAJURU,UMS TRINDADE,"{""type"":""Point"",""coordinates"":[-49.2052959881655,-25.4515254761394]}"
86,CAJURU,UMS TRINDADE II,"{""type"":""Point"",""coordinates"":[-49.20423960631,-25.4611612202895]}"
87,UMBARÁ,UMS UMBARA,"{""type"":""Point"",""coordinates"":[-49.2836138273415,-25.554499814669]}"
88,UMBARÁ,UMS UMBARA II,"{""type"":""Point"",""coordinates"":[-49.2844697705777,-25.5678565322856]}"
89,SÃO BRAZ,UMS UNIAO DAS VILAS,"{""type"":""Point"",""coordinates"":[-49.360322436427,-25.4207180012531]}"
90,NOVO MUNDO,UMS VILA CLARICE,"{""type"":""Point"",""coordinates"":[-49.2824396248542,-25.4897168781549]}"
91,ABRANCHES,UMS VILA DIANA,"{""type"":""Point"",""coordinates"":[-49.2680683119472,-25.3675755419538]}"
92,NOVO MUNDO,UMS VILA FELIZ,"{""type"":""Point"",""coordinates"":[-49.3028683393592,-25.4967680398323]}"
93,GUAÍRA,UMS VILA GUAIRA,"{""type"":""Point"",""coordinates"":[-49.2767786283703,-25.466378519912]}"
94,HAUER,UMS VILA HAUER,"{""type"":""Point"",""coordinates"":[-49.2447090893663,-25.4817545618429]}"
95,NOVO MUNDO,UMS VILA LEAO,"{""type"":""Point"",""coordinates"":[-49.301602800478,-25.4844250017743]}"
96,CACHOEIRA,UMS VILA LEONICE,"{""type"":""Point"",""coordinates"":[-49.2625216996342,-25.3528001218204]}"
97,PINHEIRINHO,UMS VILA MACHADO,"{""type"":""Point"",""coordinates"":[-49.3035258797058,-25.5181933272928]}"
98,CIDADE INDUSTRIAL,UMS VILA SANDRA,"{""type"":""Point"",""coordinates"":[-49.3415171603235,-25.4642281745194]}"
99,CIDADE INDUSTRIAL,UMS VILA VERDE,"{""type"":""Point"",""coordinates"":[-49.3343665021758,-25.5296391336771]}"
100,BOQUEIRÃO,UMS VISITACAO,"{""type"":""Point"",""coordinates"":[-49.2421514823702,-25.5181293282679]}"
101,PILARZINHO,UMS VISTA ALEGRE,"{""type"":""Point"",""coordinates"":[-49.2901662974961,-25.3923504759114]}"
102,CIDADE INDUSTRIAL,UMS VITORIA REGIA,"{""type"":""Point"",""coordinates"":[-49.3368818437406,-25.5438657691177]}"
103,BOQUEIRÃO,UMS WALDEMAR MONASTIER,"{""type"":""Point"",""coordinates"":[-49.2268098364496,-25.4970333208524]}"
104,SÍTIO CERCADO,UMS XAPINHAL,"{""type"":""Point"",""coordinates"":[-49.2794554367246,-25.5335046926266]}"
105,XAXIM,UMS XAXIM,"{""type"":""Point"",""coordinates"":[-49.2765712747255,-25.5161154888793]}"
106,BACACHERI,UPA BOA VISTA,"{""type"":""Point"",""coordinates"":[-49.2322833657073,-25.3852389073695]}"
107,BOQUEIRÃO,UPA BOQUEIRAO,"{""type"":""Point"",""coordinates"":[-49.2453468120554,-25.4925047568841]}"
108,CAJURU,UPA CAJURU,"{""type"":""Point"",""coordinates"":[-49.2059565490538,-25.4687258953335]}"
109,CAMPO COMPRIDO,UPA CAMPO COMPRIDO,"{""type"":""Point"",""coordinates"":[-49.3392725315771,-25.4417176075402]}"
110,CAPÃO RASO,UPA PINHEIRINHO,"{""type"":""Point"",""coordinates"":[-49.2945095756089,-25.5150645752756]}"
111,SÍTIO CERCADO,UPA SITIO CERCADO,"{""type"":""Point"",""coordinates"":[-49.2662086703835,-25.533042339032]}"
112,TATUQUARA,UPA TATUQUARA,"{""type"":""Point"",""coordinates"":[-49.3319409591841,-25.575739961707]}"
